school_id,name,minutes,half_width_m,pop_reachable,pop_straightline,pop_reach_ratio
genova_0144,Scuola Elementare Doria,5,40.0,434.1573583638669,1557.001846440006,0.27884190333912734
genova_0145,Scuola Garaventa Don Gallo,5,40.0,3855.1637410831445,6412.941188211441,0.6011537651662674
genova_0146,Istituto comprensivo Oregina,5,40.0,2132.6021372985842,9601.357442831397,0.22211464889173937
genova_0147,Accademia Italiana della Marina Mercantile,5,40.0,1102.064462184906,3323.328517513275,0.33161466173965265
genova_0148,Asilo nido comunale Acquerello,5,40.0,3354.0049545681477,6160.957484857365,0.5443967050270593
genova_0149,,5,40.0,991.4073494601249,2426.694949254198,0.4085422231437934
genova_0150,Nido d'infanzia comunale Lomellini,5,40.0,4024.414340133667,7640.483577055931,0.5267224645595501
genova_0151,Scuola Primaria Paritaria “S. M. ad Nives”,5,40.0,1064.8657138442993,2818.2943639779087,0.3778404865917854
genova_0152,,5,40.0,36.74680787503719,866.884744583927,0.042389496532984114
genova_0153,Micro - Nido San Filippo Neri,5,40.0,2570.0696239852905,6912.900626149178,0.37177876017247835
genova_0154,La Monelleria,5,40.0,1207.0761834192274,3992.086763060056,0.30236722172189634
genova_0155,Scuola dell'infanzia statale Girasole,5,40.0,3679.89687915802,7885.848664665222,0.4666456377291185
genova_0156,Scuola Materna Statale di Montesignano,5,40.0,2016.5700313329698,3141.055692566875,0.6420039084646175
genova_0157,Villa Dufour,5,40.0,1249.4987779915334,3756.4545777169615,0.3326271493880099
genova_0158,Scuola La nuvola Olga,5,40.0,2206.951496977806,6415.598052483192,0.3439977814887567
genova_0159,Scuola XII Ottobre,5,40.0,2206.951496977806,6239.148235172397,0.35372640844408865
genova_0160,Scuola primaria Camillo Sbarbaro,5,40.0,1334.6000426852702,3931.4631874683873,0.33946649861540934
genova_0161,Scuola dell'infanzia Guido Rossa,5,40.0,4049.6356042289735,6632.693278397322,0.6105567428270254
genova_0162,Asilo nido Castello Raggio,5,40.0,3618.7215432929993,6684.7908710509255,0.5413365373873087
genova_0163,,5,40.0,723.4394643115997,4588.5869461016355,0.1576606203193378
genova_0164,Scuola dell'Infanzia La farfalla,5,40.0,906.7609603561461,2995.849600984614,0.30267239051590933
genova_0165,Scuola dell'Infanzia Fumagalli,5,40.0,2594.0940062069894,10009.956182128153,0.25915138478213356
genova_0166,Scuola dell'Infanzia A. Spinola,5,40.0,2555.4604130554203,9612.487203471064,0.2658479911559877
genova_0167,Scuola primaria Ambrogio Spinola,5,40.0,2555.4604130554203,9660.078422643543,0.2645382678328301
genova_0168,Scuola dell'infanzia Don Acciai,5,40.0,2377.0186046600343,9193.937499246596,0.25854195820396003
genova_0169,Scuola primaria Mario Mazza,5,40.0,1819.0963608646393,8761.38600731425,0.20762655124954052
genova_0170,Il Castello s.n.c. Asilo Nido,5,40.0,919.7157761764527,6376.903719654083,0.14422607218324804
genova_0171,"Scuola dell'Infanzia Paritaria""Padre Ottavio Assarotti""",5,40.0,1384.135142478943,4207.706864491701,0.32895236932008787
genova_0172,"Scuola dell'Infanzia ""Casa dei bambini""",5,40.0,1473.1273551177978,5228.7365877747525,0.2817367695596102
genova_0173,"Scuola primaria paritaria ""Padre Ottavio Assarotti""",5,40.0,391.2212779319286,4170.885457969903,0.09379813516201137
genova_0174,Scuola Primaria Paritaria Ist. Figlie di San Giuseppe,5,40.0,1473.1273551177978,5234.284093420505,0.2814381735545304
genova_0175,Scuola per l'Infanzia San Pio X,5,40.0,3332.338571472168,11084.201641046404,0.3006385736553218
genova_0176,Nido San Pio X,5,40.0,3332.338571472168,10987.039329933526,0.30329722788862806
genova_0177,Bernardo Marsano,5,40.0,205.7642701316625,723.567945460677,0.2843744964415991
genova_0178,mYes,5,40.0,909.1617007446287,3432.286012083292,0.2648851807640574
genova_0179,Scuola Infanzia Giovine Italia,5,40.0,1546.807461490631,7415.795997409821,0.20858279570135127
genova_0180,Millepiedi,5,40.0,995.5163786911965,4099.973414269686,0.24281044731323564
genova_0181,Scuola primaria Stanislao Solari,5,40.0,4845.2847078704835,12979.540482115746,0.37330171392020434
genova_0182,Scuola Primaria Italo D'Eramo,5,40.0,2374.3931970596313,4673.369163541496,0.5080688287120694
genova_0183,Scuola dell'Infanzia Italo D'Eramo,5,40.0,2374.3931970596313,4673.369163541496,0.5080688287120694
genova_0184,Scuola primaria San Paolo,5,40.0,2013.1295596027376,7803.941844849586,0.25796316779722733
genova_0185,Istituo Vittorio Emanuele II Ruffini,5,40.0,1585.8492548370361,7972.029544391633,0.19892666553809876
genova_0186,danzainfiore,5,40.0,1473.1273551177978,5151.600968608856,0.2859552523757683
genova_0187,New Western Men Cesino,5,40.0,1.099320303928107,15.122096215868368,0.07269629079429712
genova_0188,Scuola Primaria di San Siro,5,40.0,787.7698682212829,1860.5553299525382,0.42340577328671997
genova_0189,Istituto Comprensivo Renzo Pezzani,5,40.0,1145.3230117416383,5186.449980201722,0.2208298578244636
genova_0190,Scuola Elementare Mazzini,5,40.0,421.0355094569922,1528.963866896443,0.27537309322530185
genova_0191,Scuola dell'Infanzia di Villa Sciallero,5,40.0,2164.830112991333,8682.299892177583,0.24933832508385956
genova_0192,Nido d'infanzia comunale Camelot,5,40.0,2813.8390376132725,11417.8524846673,0.2464420556660628
genova_0193,Scuola primaria Duca Degli Abruzzi,5,40.0,2248.0257458877563,9905.808263702393,0.22694016339132478
genova_0194,Scuola vespertina,5,40.0,2472.14751373291,9919.770778160095,0.2492141773251176
genova_0195,"Istituto alberghiero ""Nino Bergese""",5,40.0,2820.625961151123,5505.195386858881,0.5123571032345317
genova_0196,Scuola Primaria Giustiniani,5,40.0,1489.8565150833133,5638.049191303253,0.26425035762040383
genova_0197,Istituto Comprensivo Sestri Est,5,40.0,583.560453567505,6417.062824641094,0.0909388718038838
genova_0198,Scuola Primaria Tommaseo,5,40.0,565.8619910049438,6833.535313541889,0.08280662424961581
genova_0199,IIS Carlo Rosselli,5,40.0,1802.7902480030061,5001.936005786956,0.360418495142137
genova_0200,Scuola Primaria Enrico Fermi,5,40.0,1376.8182033681871,3148.87082159996,0.43724188173226414
